RECEIVING_LOCATION,FULFILLING_LOCATION,VOLUME_WEIGHT_BUCKET,PACKAGE_PRODUCT_VOLUME_BUCKET,FACE_PANEL_BUCKET,TV_TYPE,TV_BRAND,TV_SIZE,WG_BG,Writeoff_Percent_Qty
KNN,AB,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,SAMSUNG,e 50-56,B,0.0386
Langley,BC,d 6000-8000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0048
Indis,QC,h 14000-16000,c 0.6-0.7,e 1.06-1.08,LED,LG,c 40-44,B,0.0055
KNN,AB,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,e 50-56,W,0.0171
KNN,AB,d 6000-8000,e 0.8-1.0,g 1.10-1.12,OTHER,CHINA,a <30,B,0.0368
Langley,BC,c 4000-6000,h 2.0-3.0,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.0086
KNN,AB,g 12000-14000,f 1.0-1.5,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0037
Brampton,ON,f 10000-12000,d 0.7-0.8,d 1.04-1.06,4K,LG,c 40-44,B,0.017
KNN,AB,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,b 30-39,B,0.0045
Brampton,ON,g 12000-14000,d 0.7-0.8,d 1.04-1.06,LED,LG,e 50-56,W,0.023
Langley,BC,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.016
Brampton,ON,g 12000-14000,e 0.8-1.0,e 1.06-1.08,LED,CHINA,b 30-39,B,0.0124
Brampton,MB,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0092
KNN,AB,f 10000-12000,f 1.0-1.5,h 1.12-1.14,LED,SAMSUNG,a <30,B,0.0033
Brampton,ON,e 8000-10000,e 0.8-1.0,e 1.06-1.08,LED,VIZIO,c 40-44,B,0.0228
KNN,AB,c 4000-6000,j >4.0,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0013
Brampton,ON,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,SONY,d 45-49,B,0.0034
Brampton,ON,g 12000-14000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,a <30,B,0.0135
Indis,QC,h 14000-16000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,b 30-39,B,0.0169
Brampton,ON,j >18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0.002
Brampton,ON,a <2000,j >4.0,e 1.06-1.08,PLASMA,LG,c 40-44,B,0.0226
KNN,AB,f 10000-12000,d 0.7-0.8,e 1.06-1.08,LED,LG,b 30-39,B,0.0007
Brampton,ON,c 4000-6000,i 3.0-4.0,b 1-1.02,LED,SAMSUNG,e 50-56,W,0.0035
Langley,BC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,b 30-39,B,0.0069
Indis,QC,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,e 50-56,W,0.0361
Brampton,Ingram,j >18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0
Langley,BC,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,e 50-56,W,0.021
Brampton,Ingram,g 12000-14000,d 0.7-0.8,f 1.08-1.10,LED,SAMSUNG,c 40-44,B,0.0084
Brampton,ON,i 16000-18000,e 0.8-1.0,g 1.10-1.12,LED,SAMSUNG,b 30-39,B,0.0127
Brampton,ON,h 14000-16000,c 0.6-0.7,d 1.04-1.06,LED,LG,e 50-56,W,0.0085
Brampton,ON,b 2000-4000,i 3.0-4.0,b 1-1.02,LED,SONY,e 50-56,B,0.013
Indis,QC,d 6000-8000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,c 40-44,B,0.0058
Langley,BC,b 2000-4000,i 3.0-4.0,h 1.12-1.14,LED,CHINA,a <30,B,0.0233
Langley,BC,f 10000-12000,f 1.0-1.5,h 1.12-1.14,LED,SAMSUNG,a <30,B,0.0073
Brampton,Ingram,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,CHINA,b 30-39,B,0.0125
Brampton,ON,j >18000,b 0.5-0.6,d 1.04-1.06,LED,SAMSUNG,d 45-49,B,0.017
Indis,QC,f 10000-12000,e 0.8-1.0,d 1.04-1.06,LED,SAMSUNG,e 50-56,W,0.0371
Brampton,ON,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,c 40-44,B,0.0127
Indis,QC,f 10000-12000,f 1.0-1.5,f 1.08-1.10,LED,LG,b 30-39,B,0.003
Langley,BC,f 10000-12000,d 0.7-0.8,e 1.06-1.08,LED,LG,b 30-39,B,0.0023
Brampton,ON,c 4000-6000,e 0.8-1.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0061
Indis,QC,c 4000-6000,j >4.0,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0068
Indis,QC,d 6000-8000,h 2.0-3.0,e 1.06-1.08,LED,SONY,c 40-44,B,0.0046
Brampton,ON,e 8000-10000,f 1.0-1.5,e 1.06-1.08,LED,SAMSUNG,a <30,B,0.0069
Brampton,Brampton,h 14000-16000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,e 50-56,W,0
Indis,QC,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,B,0.0108
Brampton,Ingram,g 12000-14000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,d 45-49,B,0
Brampton,ON,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0109
Langley,BC,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0078
Brampton,ON,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0031
Brampton,Brampton,g 12000-14000,c 0.6-0.7,d 1.04-1.06,4K,LG,e 50-56,W,0
Brampton,ON,e 8000-10000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0314
Brampton,ON,f 10000-12000,e 0.8-1.0,c 1.02-1.04,4K,LG,d 45-49,B,0.0094
Brampton,ON,i 16000-18000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,d 45-49,B,0.0166
Indis,QC,f 10000-12000,f 1.0-1.5,e 1.06-1.08,LED,SONY,b 30-39,B,0.0103
Indis,QC,g 12000-14000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,a <30,B,0.0134
Brampton,NB,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0114
Brampton,Ingram,b 2000-4000,i 3.0-4.0,e 1.06-1.08,LED,CHINA,a <30,B,0.0106
Brampton,ON,i 16000-18000,e 0.8-1.0,f 1.08-1.10,LED,CHINA,a <30,B,0.0239
Brampton,ON,f 10000-12000,e 0.8-1.0,d 1.04-1.06,4K,LG,c 40-44,B,0.0025
Indis,QC,b 2000-4000,i 3.0-4.0,h 1.12-1.14,LED,CHINA,a <30,B,0.0515
Brampton,ON,g 12000-14000,c 0.6-0.7,d 1.04-1.06,LED,VIZIO,e 50-56,B,0.0292
Brampton,ON,j >18000,c 0.6-0.7,f 1.08-1.10,LED,SAMSUNG,d 45-49,W,0.0052
Langley,BC,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,SAMSUNG,e 50-56,B,0.026
Brampton,ON,h 14000-16000,d 0.7-0.8,d 1.04-1.06,4K,SAMSUNG,e 50-56,W,0.0035
Brampton,ON,h 14000-16000,c 0.6-0.7,d 1.04-1.06,LED,CHINA,e 50-56,W,0.0295
KNN,AB,g 12000-14000,g 1.5-2.0,e 1.06-1.08,LED,LG,c 40-44,B,0.0149
Brampton,ON,h 14000-16000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,d 45-49,B,0.0132
Brampton,Ingram,g 12000-14000,c 0.6-0.7,f 1.08-1.10,LED,CHINA,c 40-44,B,0.0097
Langley,BC,j >18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0018
Brampton,NL,e 8000-10000,f 1.0-1.5,f 1.08-1.10,LED,CHINA,b 30-39,B,0.0133
Brampton,ON,i 16000-18000,b 0.5-0.6,d 1.04-1.06,LCD,SAMSUNG,e 50-56,B,0.0062
Indis,QC,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,SAMSUNG,e 50-56,B,0.0307
Brampton,ON,f 10000-12000,e 0.8-1.0,c 1.02-1.04,4K,LG,f >=57,W,0.009
Indis,QC,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,LG,b 30-39,B,0.0064
Brampton,MB,f 10000-12000,d 0.7-0.8,c 1.02-1.04,LED,CHINA,c 40-44,B,0.0255
KNN,AB,g 12000-14000,e 0.8-1.0,d 1.04-1.06,LED,CHINA,c 40-44,B,0.0241
Langley,BC,g 12000-14000,f 1.0-1.5,e 1.06-1.08,LED,SAMSUNG,b 30-39,B,0.0056
Indis,QC,d 6000-8000,f 1.0-1.5,d 1.04-1.06,LCD,SONY,b 30-39,B,0.0102
KNN,AB,h 14000-16000,e 0.8-1.0,d 1.04-1.06,LED,SONY,f >=57,W,0.0149
Brampton,ON,e 8000-10000,e 0.8-1.0,d 1.04-1.06,LED,LG,c 40-44,B,0.0131
Brampton,ON,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,LG,d 45-49,B,0.0169
Brampton,ON,h 14000-16000,f 1.0-1.5,d 1.04-1.06,LED,LG,e 50-56,B,0.0292
KNN,AB,f 10000-12000,e 0.8-1.0,e 1.06-1.08,LED,LG,b 30-39,B,0.0009
Langley,BC,i 16000-18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0077
Brampton,MB,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,CHINA,d 45-49,B,0.0173
Brampton,ON,b 2000-4000,j >4.0,c 1.02-1.04,LED,LG,f >=57,W,0.0192
Brampton,ON,h 14000-16000,f 1.0-1.5,c 1.02-1.04,LED,SAMSUNG,f >=57,W,0
KNN,AB,g 12000-14000,d 0.7-0.8,e 1.06-1.08,LED,SAMSUNG,d 45-49,B,0.0068
Langley,BC,f 10000-12000,g 1.5-2.0,g 1.10-1.12,LED,CHINA,a <30,B,0.001
Indis,QC,b 2000-4000,h 2.0-3.0,d 1.04-1.06,LED,SONY,c 40-44,B,0.0029
Langley,BC,j >18000,c 0.6-0.7,c 1.02-1.04,LED,CHINA,e 50-56,B,0.0176
Indis,QC,j >18000,d 0.7-0.8,d 1.04-1.06,LED,CHINA,c 40-44,B,0.002
KNN,AB,c 4000-6000,h 2.0-3.0,d 1.04-1.06,LED,SAMSUNG,d 45-49,B,0.0128
Brampton,ON,i 16000-18000,c 0.6-0.7,e 1.06-1.08,LED,SAMSUNG,c 40-44,B,0.0118
